Algorithm,N,Mean,CI95,SNR,L_inf,IsOk
Iterative,1024,0.036010,0.000153,304.56,1.59e-12,1
Recursive,1024,0.049569,0.000077,304.12,2.05e-12,1
Iterative,4096,0.203365,0.000370,303.80,2.29e-12,1
Recursive,4096,0.249340,0.000391,303.41,2.29e-12,1
Iterative,16384,1.144837,0.001791,303.18,2.55e-12,1
Recursive,16384,1.184420,0.001753,303.07,2.30e-12,1
Iterative,65536,5.782832,0.018627,303.20,2.58e-12,1
Recursive,65536,5.674561,0.034330,302.78,2.59e-12,1
Iterative,262144,25.767576,0.083166,302.99,2.79e-12,1
Recursive,262144,23.281332,0.099227,302.88,2.55e-12,1
Iterative,524288,62.885326,0.223474,302.14,2.96e-12,1
Recursive,524288,54.344607,0.196508,302.34,3.12e-12,1
Iterative,1048576,153.328374,0.305118,300.98,3.26e-12,1
Recursive,1048576,130.132301,0.291168,301.31,3.06e-12,1
